pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HD 209458,b,HD 209458 b,Radial Velocity,0,1,3.52474859,0.00000038,-0.00000038,0,,,,0,0,,,0,86.71,0.05,-0.05,0,0.73,0.04,-0.04,0,Mass,1.39,0.02,-0.02,0,,,,0,0,0,0,2,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,48.37,0.12,-0.12,0,48.37,0.12,-0.12,0,7.632,0.012,0,V (Johnson),7.509,,0,6091,10,-10,0,1.23,0.09,-0.09,0,1.19,0.02,-0.02,0,12/6/2018,W. M. Keck Observatory
HD 210193,b,HD 210193 b,Radial Velocity,0,1,649.918,8.599,-8.599,0,1.487,0.031,-0.031,0,0.24,0.09,-0.09,0,,,,0,0.4817,0.07331,-0.07331,0,Msini,,,,0,,,,0,0,0,0,0,22h09m34.61s,332.394226,-41d13m29.6s,-41.224892,42.25,,,0,42.25,0.08,-0.08,0,7.823,0.012,0,V (Johnson),,,,5790,38,-50,0,1.04,0.06,-0.06,0,,,,0,5/23/2019,Las Campanas Observatory
HD 210277,b,HD 210277 b,Radial Velocity,0,1,442.19,0.5,-0.5,0,1.13,0.02,-0.02,0,0.48,0.02,-0.02,0,,,,0,1.29,0.05,-0.05,0,Msini,,,,0,,,,0,0,0,0,0,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654,21.31,0.02,-0.02,0,21.31,0.02,-0.02,0,6.53,,0,V (Johnson),6.343,,0,5538,14,-14,0,1.01,0.05,-0.05,0,1.07,0.01,-0.01,0,9/6/2018,W. M. Keck Observatory
HD 210702,b,HD 210702 b,Radial Velocity,0,1,354.1,0.7,-0.7,0,1.148,0.057,-0.057,0,0.028,0.034,-0.034,0,,,,0,1.808,0.097,-0.097,0,Msini,,,,,,,,0,0,0,0,0,22h11m51.33s,332.963867,+16d02m26.0s,16.04055,54.28,0.23,-0.23,0,54.28,0.23,-0.23,0,5.93,,0,V (Johnson),5.664,,0,4951,,,0,1.61,,,0,4.92,,,0,12/6/2018,Lick Observatory
HD 211810,b,HD 211810 b,Radial Velocity,0,1,1558,22,-22,0,2.656,0.043,-0.043,0,0.68,0.14,-0.14,0,,,,0,0.67,0.44,-0.44,0,Msini,,,,0,,,,0,0,0,0,0,22h18m06.54s,334.527252,+61d08m04.0s,61.134438,64.76,0.13,-0.13,0,64.76,0.13,-0.13,0,8.59,,0,V (Johnson),8.418,,0,5652,,,0,1.03,0.02,-0.02,0,1.13,1.13,-1.13,0,9/27/2018,W. M. Keck Observatory
HD 211970,b,HD 211970 b,Radial Velocity,0,1,25.201,0.025,-0.025,0,0.143,0.003,-0.003,0,0.15,0.1,-0.1,0,,,,0,0.0409,0.00787,-0.00787,0,Msini,,,,0,,,,0,0,0,0,0,22h22m16.21s,335.567535,-54d33m38.2s,-54.560619,13,,,0,13.13,0.01,-0.01,0,8.99,0.01,0,V (Johnson),,,,4127,149,-94,0,0.61,0.04,-0.04,0,,,,0,5/23/2019,Las Campanas Observatory
HD 212301,b,HD 212301 b,Radial Velocity,0,1,2.24571,0.00028,-0.00028,0,0.03,0,0,0,0,,,0,,,,0,0.51,0.04,-0.04,0,Msini,,,,0,,,,0,0,0,0,0,22h27m30.92s,336.878845,-77d43m04.5s,-77.717926,54.32,0.09,-0.09,0,54.32,0.09,-0.09,0,7.764,0.011,0,V (Johnson),7.635,,0,6239,24,-24,0,1.55,0.16,-0.16,0,1.16,0.02,-0.02,0,9/6/2018,La Silla Observatory
HD 212771,b,HD 212771 b,Radial Velocity,0,1,380.7,1.4,-1.4,0,1.19,0.13,-0.13,0,0.076,0.051,-0.051,0,,,,0,2.39,0.27,-0.27,0,Msini,,,,,,,,0,0,0,0,0,22h27m03.07s,336.762787,-17d15m49.2s,-17.263659,111.51,0.54,-0.54,0,111.51,0.54,-0.54,0,7.6,,0,V (Johnson),7.352,,0,5003,,,0,1.56,,,0,5.27,,,0,12/6/2018,W. M. Keck Observatory
HD 213240,b,HD 213240 b,Radial Velocity,0,1,882.70001,7.6,-7.6,0,1.89,0.03,-0.03,0,0.42,0.01,-0.01,0,,,,0,5.58,0.31,-0.31,0,Msini,,,,0,,,,0,0,0,0,0,22h31m00.37s,337.751526,-49d25m59.8s,-49.43327,40.92,0.06,-0.06,0,40.92,0.06,-0.06,0,6.814,0.01,0,V (Johnson),6.658,,0,5979,19,-19,0,1.57,0.12,-0.12,0,1.51,0.02,-0.02,0,9/6/2018,La Silla Observatory
HD 21411,b,HD 21411 b,Radial Velocity,0,1,84.288,0.127,-0.127,0,0.362,0.007,-0.007,0,0.4,0.15,-0.15,0,,,,0,0.20734,0.08055,-0.08055,0,Msini,,,,0,,,,0,0,0,0,0,03h26m11.12s,51.546322,-30d37m04.1s,-30.617809,29.16,,,0,29.16,0.03,-0.03,0,7.885,,0,V (Johnson),,,,5605,247,-132,0,0.89,0.05,-0.05,0,,,,0,5/23/2019,Las Campanas Observatory
