pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
LkCa 15,c,LkCa 15 c,Imaging,1,2,,,,,18.6,2.5,-2.5,0,,,,,50,,,0,,,,,,,,,,,,,,0,0,0,1,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,158.87,1.22,-1.22,0,158.87,1.22,-1.22,0,12.025,0.228,0,V (Johnson),11.589,,0,,,,,,,,,,,,,12/3/2015,Large Binocular Telescope Observatory
Oph 11,b,Oph 11 b,Imaging,0,1,7300000,3650000,-3650000,0,243,55,-55,0,,,,,,,,,14,6,-5,0,Mass,,,,,,,,,0,0,0,1,16h22m25.21s,245.605058,-24d05m13.9s,-24.087208,125,25,-25,0,136.17,7.53,-7.53,0,,,,,18.912,,0,2375,175,-175,0,0.02,0,-0.01,0,,,,,3/10/2016,Gemini Observatory
PDS 70,b,PDS 70 b,Imaging,0,2,43500,,,0,22,,,0,,,,0,,,,0,8,6,-6,0,Mass,1.3,,,-1,,,,0,0,0,0,1,14h08m10.16s,212.042333,-41d23m52.58s,-41.397939,113.43,0.52,-0.52,0,113.43,0.52,-0.52,0,12.233,0.123,0,V (Johnson),11.585,,0,3972,36,-36,0,0.76,0.02,-0.02,0,1.26,0.15,-0.15,0,3/5/2019,Paranal Observatory
PDS 70,c,PDS 70 c,Imaging,0,2,,,,0,34.5,2,-2,0,,,,0,49.7,,,0,10.48949,5.24474,-5.24474,0,Msin(i)/sin(i),,,,0,,,,0,0,0,0,1,14h08m10.16s,212.042333,-41d23m52.58s,-41.397939,113.43,0.52,-0.52,0,113.43,0.52,-0.52,0,12.233,0.123,0,V (Johnson),11.585,,0,3972,36,-36,0,0.76,0.02,-0.02,0,1.26,0.15,-0.15,0,6/13/2019,European Southern Observatory
ROXs 12,b,ROXs 12 b,Imaging,0,1,,,,,210,20,-20,0,,,,,,,,,16,4,-4,0,Mass,,,,,,,,,0,0,0,1,16h26m27.75s,246.615609,-25d27m24.7s,-25.456865,120,10,-10,0,138.26,1.41,-1.41,0,15.595,0.055,0,V (Johnson),14.766,,0,3850,100,-70,0,0.87,0.08,-0.08,0,,,,,5/14/2014,W. M. Keck Observatory
ROXs 42 B,b,ROXs 42 B b,Imaging,0,1,,,,,157,,,0,,,,,,,,,9,3,-3,0,Mass,,,,,,,,,0,0,0,1,16h31m15.02s,247.812567,-24d32m43.7s,-24.545471,135,,,0,144.16,1.53,-1.53,0,,,,,13.116,,0,,,,,1,,,0,,,,,5/14/2014,Multiple Observatories
Ross 458,c,Ross 458 c,Imaging,0,1,,,,,1168,,,0,,,,,,,,,6.28536,,,0,Mass,1.22,,,0,,,,,0,0,0,0,13h00m46.58s,195.194092,+12d22m32.6s,12.375724,11.51,0.02,-0.02,0,11.51,0.02,-0.02,0,9.72,0.02,0,V (Johnson),8.908,,0,3621,,,0,0.49,,,0,0.63,,,0,5/14/2014,Las Campanas Observatory
SR 12 AB,c,SR 12 AB c,Imaging,0,1,,,,,,,,,,,,,,,,,13,7,-7,0,Mass,,,,,,,,,0,0,0,0,16h27m19.51s,246.8313,-24d41m40.4s,-24.694553,112.32,5.41,-5.41,0,112.32,5.41,-5.41,0,13.265,0.032,0,V (Johnson),12.181,,0,,,,,,,,,,,,,5/14/2014,Infrared Survey Facility
USco CTIO 108,b,USco CTIO 108 b,Imaging,0,1,,,,,670,,,0,,,,,,,,,14,2,-8,0,Mass,,,,,,,,,0,0,0,0,16h05m54.08s,241.47532,-18d18m44.4s,-18.312332,144.29,5.02,-5.02,0,144.29,5.02,-5.02,0,,,,,17.423,,0,2700,100,-100,0,0.06,0.02,-0.02,0,,,,,5/14/2015,Teide Observatory
VHS J125601.92-125723.9,b,VHS J125601.92-125723.9 b,Imaging,0,1,,,,,102,9,-9,0,,,,,,,,,11.2,9.7,-1.8,0,Mass,,,,,,,,,0,0,0,1,12h56m02.15s,194.008964,-12d57m21.7s,-12.956031,12.7,1,-1,0,,,,,17.759,0.059,0,V (Johnson),,,,2620,140,-140,0,0.07,0.02,-0.01,0,,,,,5/14/2015,Paranal Observatory
WD 0806-661,b,WD 0806-661 b,Imaging,0,1,,,,,2500,,,0,,,,,,,,,7.5,1.5,-1.5,0,Mass,,,,,,,,,0,0,0,0,08h06m53.74s,121.723902,-66d18m16.7s,-66.30465,19.2,0.6,-0.6,0,19.26,0.01,-0.01,0,,,,,13.683,,0,,,,,0.62,0.03,-0.03,0,,,,,5/14/2014,Spitzer Space Telescope
WISEP J121756.91+162640.2 A,b,WISEP J121756.91+162640.2 A b,Imaging,0,1,,,,,8,1.3,-1.3,0,,,,,,,,,22,2,-2,0,Mass,0.934,0.029,-0.029,0,,,,,0,0,0,0,12h17m56.91s,184.487125,+16d26m40.2s,16.4445,10.1,1.9,-1.4,0,,,,,,,,,,,,575,25,-25,0,0.03,0.01,-0.01,0,0.09,0,0,0,5/14/2014,W. M. Keck Observatory
bet Pic,b,bet Pic b,Imaging,0,2,7665,7300,-730,0,9.1,5.3,-0.5,0,0.08,0.32,-0.06,0,88.9,0.7,-0.7,0,,,,,,,,,,,,,,0,0,0,2,05h47m17.09s,86.821198,-51d03m59.4s,-51.066513,19.75,0.13,-0.13,0,19.75,0.13,-0.13,0,3.85,,0,V (Johnson),3.725,,0,,,,,1.76,0.18,-0.17,0,,,,,8/13/2015,Paranal Observatory
kap And,b,kap And b,Imaging,0,1,,,,,55,2,-2,0,,,,,,,,,13.616,23.042,-1.047,0,Mass,,,,,,,,,0,0,0,0,23h40m24.51s,355.102112,+44d20m02.2s,44.333931,50.06,0.86,-0.86,0,50.06,0.86,-0.86,0,4.14,,0,V (Johnson),4.053,,0,10900,300,-300,0,2.6,0.2,-0.2,0,,,,,5/14/2014,Subaru Telescope
